value	date	grupo	subgrupo
112	1949-01-01	air	sub1
118	1949-02-01	air	sub1
132	1949-03-01	air	sub1
129	1949-04-01	air	sub1
121	1949-05-01	air	sub1
135	1949-06-01	air	sub1
148	1949-07-01	air	sub1
148	1949-08-01	air	sub1
136	1949-09-01	air	sub1
119	1949-10-01	air	sub1
104	1949-11-01	air	sub1
118	1949-12-01	air	sub1
115	1950-01-01	air	sub1
126	1950-02-01	air	sub1
141	1950-03-01	air	sub1
135	1950-04-01	air	sub1
125	1950-05-01	air	sub1
149	1950-06-01	air	sub1
170	1950-07-01	air	sub1
170	1950-08-01	air	sub1
158	1950-09-01	air	sub1
133	1950-10-01	air	sub1
114	1950-11-01	air	sub1
140	1950-12-01	air	sub1
145	1951-01-01	air	sub1
150	1951-02-01	air	sub1
178	1951-03-01	air	sub1
163	1951-04-01	air	sub1
172	1951-05-01	air	sub1
178	1951-06-01	air	sub1
199	1951-07-01	air	sub1
199	1951-08-01	air	sub1
184	1951-09-01	air	sub1
162	1951-10-01	air	sub1
146	1951-11-01	air	sub1
166	1951-12-01	air	sub1
171	1952-01-01	air	sub1
180	1952-02-01	air	sub1
193	1952-03-01	air	sub1
181	1952-04-01	air	sub1
183	1952-05-01	air	sub1
218	1952-06-01	air	sub1
230	1952-07-01	air	sub1
242	1952-08-01	air	sub1
209	1952-09-01	air	sub1
191	1952-10-01	air	sub1
172	1952-11-01	air	sub1
194	1952-12-01	air	sub1
196	1953-01-01	air	sub1
196	1953-02-01	air	sub1
236	1953-03-01	air	sub1
235	1953-04-01	air	sub1
229	1953-05-01	air	sub1
243	1953-06-01	air	sub1
264	1953-07-01	air	sub1
272	1953-08-01	air	sub1
237	1953-09-01	air	sub1
211	1953-10-01	air	sub1
180	1953-11-01	air	sub1
201	1953-12-01	air	sub1
204	1954-01-01	air	sub1
188	1954-02-01	air	sub1
235	1954-03-01	air	sub1
227	1954-04-01	air	sub1
234	1954-05-01	air	sub1
264	1954-06-01	air	sub1
302	1954-07-01	air	sub1
293	1954-08-01	air	sub1
259	1954-09-01	air	sub1
229	1954-10-01	air	sub1
203	1954-11-01	air	sub1
229	1954-12-01	air	sub1
242	1955-01-01	air	sub2
233	1955-02-01	air	sub2
267	1955-03-01	air	sub2
269	1955-04-01	air	sub2
270	1955-05-01	air	sub2
315	1955-06-01	air	sub2
364	1955-07-01	air	sub2
347	1955-08-01	air	sub2
312	1955-09-01	air	sub2
274	1955-10-01	air	sub2
237	1955-11-01	air	sub2
278	1955-12-01	air	sub2
284	1956-01-01	air	sub2
277	1956-02-01	air	sub2
317	1956-03-01	air	sub2
313	1956-04-01	air	sub2
318	1956-05-01	air	sub2
374	1956-06-01	air	sub2
413	1956-07-01	air	sub2
405	1956-08-01	air	sub2
355	1956-09-01	air	sub2
306	1956-10-01	air	sub2
271	1956-11-01	air	sub2
306	1956-12-01	air	sub2
315	1957-01-01	air	sub2
301	1957-02-01	air	sub2
356	1957-03-01	air	sub2
348	1957-04-01	air	sub2
355	1957-05-01	air	sub2
422	1957-06-01	air	sub2
465	1957-07-01	air	sub2
467	1957-08-01	air	sub2
404	1957-09-01	air	sub2
347	1957-10-01	air	sub2
305	1957-11-01	air	sub2
336	1957-12-01	air	sub2
340	1958-01-01	air	sub2
318	1958-02-01	air	sub2
362	1958-03-01	air	sub2
348	1958-04-01	air	sub2
363	1958-05-01	air	sub2
435	1958-06-01	air	sub2
491	1958-07-01	air	sub2
505	1958-08-01	air	sub2
404	1958-09-01	air	sub2
359	1958-10-01	air	sub2
310	1958-11-01	air	sub2
337	1958-12-01	air	sub2
360	1959-01-01	air	sub2
342	1959-02-01	air	sub2
406	1959-03-01	air	sub2
396	1959-04-01	air	sub2
420	1959-05-01	air	sub2
472	1959-06-01	air	sub2
548	1959-07-01	air	sub2
559	1959-08-01	air	sub2
463	1959-09-01	air	sub2
407	1959-10-01	air	sub2
362	1959-11-01	air	sub2
405	1959-12-01	air	sub2
417	1960-01-01	air	sub2
391	1960-02-01	air	sub2
419	1960-03-01	air	sub2
461	1960-04-01	air	sub2
472	1960-05-01	air	sub2
535	1960-06-01	air	sub2
622	1960-07-01	air	sub2
606	1960-08-01	air	sub2
508	1960-09-01	air	sub2
461	1960-10-01	air	sub2
390	1960-11-01	air	sub2
432	1960-12-01	air	sub2
315.42	1959-01-01	co2	sub1
316.31	1959-02-01	co2	sub1
316.5	1959-03-01	co2	sub1
317.56	1959-04-01	co2	sub1
318.13	1959-05-01	co2	sub1
318	1959-06-01	co2	sub1
316.39	1959-07-01	co2	sub1
314.65	1959-08-01	co2	sub1
313.68	1959-09-01	co2	sub1
313.18	1959-10-01	co2	sub1
314.66	1959-11-01	co2	sub1
315.43	1959-12-01	co2	sub1
316.27	1960-01-01	co2	sub1
316.81	1960-02-01	co2	sub1
317.42	1960-03-01	co2	sub1
318.87	1960-04-01	co2	sub1
319.87	1960-05-01	co2	sub1
319.43	1960-06-01	co2	sub1
318.01	1960-07-01	co2	sub1
315.74	1960-08-01	co2	sub1
314	1960-09-01	co2	sub1
313.68	1960-10-01	co2	sub1
314.84	1960-11-01	co2	sub1
316.03	1960-12-01	co2	sub1
316.73	1961-01-01	co2	sub1
317.54	1961-02-01	co2	sub1
318.38	1961-03-01	co2	sub1
319.31	1961-04-01	co2	sub1
320.42	1961-05-01	co2	sub1
319.61	1961-06-01	co2	sub1
318.42	1961-07-01	co2	sub1
316.63	1961-08-01	co2	sub1
314.83	1961-09-01	co2	sub1
315.16	1961-10-01	co2	sub1
315.94	1961-11-01	co2	sub1
316.85	1961-12-01	co2	sub1
317.78	1962-01-01	co2	sub1
318.4	1962-02-01	co2	sub1
319.53	1962-03-01	co2	sub1
320.42	1962-04-01	co2	sub1
320.85	1962-05-01	co2	sub1
320.45	1962-06-01	co2	sub1
319.45	1962-07-01	co2	sub1
317.25	1962-08-01	co2	sub1
316.11	1962-09-01	co2	sub1
315.27	1962-10-01	co2	sub1
316.53	1962-11-01	co2	sub1
317.53	1962-12-01	co2	sub1
318.58	1963-01-01	co2	sub1
318.92	1963-02-01	co2	sub1
319.7	1963-03-01	co2	sub1
321.22	1963-04-01	co2	sub1
322.08	1963-05-01	co2	sub1
321.31	1963-06-01	co2	sub1
319.58	1963-07-01	co2	sub1
317.61	1963-08-01	co2	sub1
316.05	1963-09-01	co2	sub1
315.83	1963-10-01	co2	sub1
316.91	1963-11-01	co2	sub1
318.2	1963-12-01	co2	sub1
319.41	1964-01-01	co2	sub1
320.07	1964-02-01	co2	sub1
320.74	1964-03-01	co2	sub1
321.4	1964-04-01	co2	sub1
322.06	1964-05-01	co2	sub1
321.73	1964-06-01	co2	sub1
320.27	1964-07-01	co2	sub1
318.54	1964-08-01	co2	sub1
316.54	1964-09-01	co2	sub1
316.71	1964-10-01	co2	sub1
317.53	1964-11-01	co2	sub1
318.55	1964-12-01	co2	sub1
319.27	1965-01-01	co2	sub1
320.28	1965-02-01	co2	sub1
320.73	1965-03-01	co2	sub1
321.97	1965-04-01	co2	sub1
322	1965-05-01	co2	sub1
321.71	1965-06-01	co2	sub1
321.05	1965-07-01	co2	sub1
